VCC_PINWIRE,F2_B1
OMUX_N11,F2_B1
E2MID4,F2_B1
S2BEG4,F2_B1
S2MID5,F2_B1
W2END5,F2_B1
OMUX_S3,F2_B1
E2END2,F2_B2
E2MID3,F2_B2
N2END2,F2_B2
OMUX_W6,F2_B2
W2BEG2,F2_B2
VCC_PINWIRE,F2_B2
OMUX_S4,F2_B2
N2MID3,F2_B2
E2BEG3,F2_B2
E2MID2,F2_B2
S2MID2,F2_B2
OMUX_E7,F2_B2
OMUX_WN14,F2_B2
W2MID2,F2_B2
S2END2,F2_B2
W2END2,F2_B2
N2MID2,F2_B2
W2MID3,F2_B2
Y1,F2_B2
S2MID3,F2_B2
OMUX_N12,F2_B2
S2BEG2,F2_B2
OMUX6,F2_B2
OMUX_NE12,F2_B2
OMUX_N11,F2_B3
E2MID4,F2_B3
S2BEG4,F2_B3
VCC_PINWIRE,F2_B3
OMUX_S3,F2_B3
N2END4,F2_B3
OMUX_SE3,F2_B3
E2BEG5,F2_B3
X1,F2_B3
S2MID4,F2_B3
W2MID5,F2_B3
W2END4,F2_B3
W2MID4,F2_B3
E2END4,F2_B3
Y2,F2_B3
S2MID5,F2_B3
OMUX_E8,F2_B3
S2END4,F2_B3
OMUX9,F2_B3
E2MID5,F2_B3
W2BEG4,F2_B3
OMUX_W9,F2_B3
N2MID4,F2_B3
N2MID5,F2_B3
OMUX_WS1,F2_B3
F3_B0,F3_B_PINWIRE0
F3_B1,F3_B_PINWIRE1
F3_B2,F3_B_PINWIRE2
F3_B3,F3_B_PINWIRE3
N2END4,F3_B0
E2MID4,F3_B0
E2MID5,F3_B0
OMUX9,F3_B0
OMUX_WS1,F3_B0
OMUX_SE3,F3_B0
W2MID5,F3_B0
S2MID4,F3_B0
N2MID4,F3_B0
E2BEG5,F3_B0
OMUX_S3,F3_B0
N2MID5,F3_B0
S2MID5,F3_B0
W2END4,F3_B0
Y2,F3_B0
X1,F3_B0
OMUX_W9,F3_B0
S2END4,F3_B0
W2BEG4,F3_B0
OMUX_E8,F3_B0
W2MID4,F3_B0
E2END4,F3_B0
VCC_PINWIRE,F3_B0
OMUX_N11,F3_B0
S2BEG4,F3_B0
E2BEG3,F3_B1
Y1,F3_B1
OMUX_NE12,F3_B1
OMUX_N12,F3_B1
E2MID3,F3_B1
OMUX6,F3_B1
S2BEG2,F3_B1
